radar,datetime,height,u,v,w,ff,dd,sd_vvp,gap,dbz,eta,dens,DBZH,n,n_dbz,n_all,n_dbz_all,lat,lon,day,sunrise,sunset
KBGM,2016-09-03T00:00:00Z,0,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,NaN,NaN,NaN,NaN,0,0,0,0,42.2,-75.98,FALSE,2016-09-03T10:34:59Z,2016-09-03T23:30:24Z
KBGM,2016-09-03T00:00:00Z,200,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,NaN,NaN,NaN,NaN,0,0,0,0,42.2,-75.98,FALSE,2016-09-03T10:34:59Z,2016-09-03T23:30:24Z
KBGM,2016-09-03T00:00:00Z,400,0.88,-8.95,80.01,8.99,174.4,3.33,FALSE,6.11,88.3,8.027272727272727,6.26,4844,4934,21924,22158,42.2,-75.98,FALSE,2016-09-03T10:34:59Z,2016-09-03T23:30:24Z
KBGM,2016-09-03T00:00:00Z,600,-0.64,-8.82,26.62,8.84,184.2,3.43,FALSE,6.02,86.4,7.854545454545455,5.35,31016,31810,56610,57688,42.2,-75.98,FALSE,2016-09-03T10:34:59Z,2016-09-03T23:30:24Z
KBGM,2016-09-03T00:00:00Z,800,-1.7,-8.81,10.15,8.97,190.9,2.91,FALSE,0.05,21.9,1.9909090909090907,-0.23,13769,13957,39617,40234,42.2,-75.98,FALSE,2016-09-03T10:34:59Z,2016-09-03T23:30:24Z
KBGM,2016-09-03T00:00:00Z,1000,-2.89,-8.22,5.92,8.71,199.4,3.05,FALSE,-4.03,8.5,0.7727272727272727,-4.23,11559,11835,34588,35301,42.2,-75.98,FALSE,2016-09-03T10:34:59Z,2016-09-03T23:30:24Z
KBGM,2016-09-03T00:00:00Z,1200,NaN,NaN,NaN,NaN,NaN,2.72,TRUE,-9.61,2.4,0.21818181818181817,-7.7,1125,1138,20028,20629,42.2,-75.98,FALSE,2016-09-03T10:34:59Z,2016-09-03T23:30:24Z
KBGM,2016-09-03T00:00:00Z,1400,NaN,NaN,NaN,NaN,NaN,2.65,TRUE,-13.88,0.9,0.08181818181818182,-9.86,227,232,18539,19243,42.2,-75.98,FALSE,2016-09-03T10:34:59Z,2016-09-03T23:30:24Z
KBGM,2016-09-03T00:00:00Z,1600,NaN,NaN,NaN,NaN,NaN,1.97,TRUE,-17.49,0.4,0,-12.43,49,49,7713,7922,42.2,-75.98,FALSE,2016-09-03T10:34:59Z,2016-09-03T23:30:24Z
KBGM,2016-09-03T00:00:00Z,1800,NaN,NaN,NaN,NaN,NaN,2.16,TRUE,NaN,NaN,NaN,-14.37,0,1,7581,8043,42.2,-75.98,FALSE,2016-09-03T10:34:59Z,2016-09-03T23:30:24Z
KBGM,2016-09-03T00:00:00Z,2000,NaN,NaN,NaN,NaN,NaN,1.91,TRUE,-21.35,0.2,0,-15.39,30,30,3889,4508,42.2,-75.98,FALSE,2016-09-03T10:34:59Z,2016-09-03T23:30:24Z
KBGM,2016-09-03T00:00:00Z,2200,NaN,NaN,NaN,NaN,NaN,1.91,TRUE,-23.91,0.1,0,-21.53,113,218,2196,3470,42.2,-75.98,FALSE,2016-09-03T10:34:59Z,2016-09-03T23:30:24Z
KBGM,2016-09-03T00:00:00Z,2400,NaN,NaN,NaN,NaN,NaN,1.65,TRUE,-27.9,0,0,-24.43,21,86,372,708,42.2,-75.98,FALSE,2016-09-03T10:34:59Z,2016-09-03T23:30:24Z
KBGM,2016-09-03T00:00:00Z,2600,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,NaN,NaN,NaN,NaN,0,0,0,0,42.2,-75.98,FALSE,2016-09-03T10:34:59Z,2016-09-03T23:30:24Z
KBGM,2016-09-03T00:00:00Z,2800,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,NaN,NaN,NaN,NaN,0,0,0,0,42.2,-75.98,FALSE,2016-09-03T10:34:59Z,2016-09-03T23:30:24Z
KBGM,2016-09-03T00:00:00Z,3000,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,NaN,NaN,NaN,NaN,0,0,0,0,42.2,-75.98,FALSE,2016-09-03T10:34:59Z,2016-09-03T23:30:24Z
KBGM,2016-09-03T00:00:00Z,3200,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,NaN,NaN,NaN,NaN,0,0,0,0,42.2,-75.98,FALSE,2016-09-03T10:34:59Z,2016-09-03T23:30:24Z
KBGM,2016-09-03T00:00:00Z,3400,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,NaN,NaN,NaN,NaN,0,0,0,0,42.2,-75.98,FALSE,2016-09-03T10:34:59Z,2016-09-03T23:30:24Z
KBGM,2016-09-03T00:00:00Z,3600,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,NaN,NaN,NaN,NaN,0,0,0,0,42.2,-75.98,FALSE,2016-09-03T10:34:59Z,2016-09-03T23:30:24Z
